,title,vote_average
935,Herbie Fully Loaded,5.1
936,Don't Say a Word,6.0
937,Hansel & Gretel: Witch Hunters,5.7
938,Unfaithful,6.3
939,I Am Number Four,5.9
940,Syriana,6.3
941,13 Hours: The Secret Soldiers of Benghazi,7.0
942,The Book of Life,7.3
943,Firewall,5.6
944,Absolute Power,6.4
945,G.I. Jane,6.0
946,The Game,7.5
947,Silent Hill,6.3
948,The Replacements,6.1
949,American Reunion,6.1
950,The Negotiator,6.8
951,Into the Storm,5.8
952,Beverly Hills Cop III,5.5
953,Gremlins 2: The New Batch,6.2
954,The Judge,7.2
955,The Peacemaker,5.8
956,Resident Evil: Apocalypse,6.1
957,Bridget Jones: The Edge of Reason,6.1
958,Out of Time,6.1
959,On Deadly Ground,4.5
960,The Adventures of Sharkboy and Lavagirl,4.4
961,The Beach,6.3
962,Raising Helen,5.9
963,Ninja Assassin,6.2
964,For Love of the Game,6.3
965,Striptease,4.4
966,Marmaduke,5.0
967,Hereafter,5.8
968,Murder by Numbers,6.0
969,Assassins,6.0
970,Hannibal Rising,6.0
971,The Story of Us,5.9
972,The Host,6.0
973,Basic,6.2
974,Blood Work,6.1
975,The International,6.0
976,Escape from L.A.,5.6
977,The Iron Giant,7.6
978,The Life Aquatic with Steve Zissou,7.1
979,Free State of Jones,6.6
980,The Life of David Gale,7.3
981,Man of the House,5.4
982,Run All Night,6.3
983,Eastern Promises,7.2
984,Into the Blue,5.8
985,The Messenger: The Story of Joan of Arc,6.2
986,Your Highness,5.2
987,Dream House,5.8
988,Mad City,5.9
989,Baby's Day Out,5.8
990,The Scarlet Letter,5.5
991,Fair Game,6.5
992,Domino,6.0
993,Jade,5.2
994,Gamer,5.6
995,Beautiful Creatures,5.6
996,Death to Smoochy,5.9
997,Zoolander 2,4.7
998,The Big Bounce,5.0
999,What Planet Are You From?,5.4
1000,Drive Angry,5.3
1001,Street Fighter: The Legend of Chun-Li,3.9
1002,The One,5.7
1003,The Adventures of Ford Fairlane,6.2
1004,The Boat That Rocked,7.2
1005,Traffic,6.9
1006,Indiana Jones and the Last Crusade,7.6
1007,Anna Karenina,6.5
1008,Chappie,6.6
1009,The Bone Collector,6.5
1010,Panic Room,6.5
1011,The Tooth Fairy,4.3
1012,Three Kings,6.6
1013,Child 44,6.1
1014,Rat Race,6.0
1015,K-PAX,7.1
1016,Kate & Leopold,6.0
1017,Bedazzled,5.6
1018,The Cotton Club,6.6
1019,3:10 to Yuma,6.9
1020,Taken 3,6.1
1021,Out of Sight,6.5
1022,The Cable Guy,5.7
1023,Earth,6.6
1024,Dick Tracy,5.9
1025,The Thomas Crown Affair,6.6
1026,Riding in Cars with Boys,6.5
1027,First Blood,7.2
1028,Solaris,7.7
1029,Happily N'Ever After,4.6
1030,Mary Reilly,5.7
1031,My Best Friend's Wedding,6.3
1032,America's Sweethearts,5.5
1033,Insomnia,6.8
1034,Star Trek: First Contact,7.0
1035,Jonah Hex,4.4
1036,Courage Under Fire,6.2
1037,Liar Liar,6.4
1038,The Infiltrator,6.6
1039,Inchon,6.5
1040,The Flintstones,5.0
1041,Taken 2,6.1
1042,Scary Movie 3,5.8
1043,Miss Congeniality,6.1
1044,Journey to the Center of the Earth,5.8
1045,The Princess Diaries 2: Royal Engagement,6.0
1046,The Pelican Brief,6.3
1047,The Client,6.4
1048,The Bucket List,7.0
1049,Patriot Games,6.3
1050,Monster-in-Law,5.6
1051,Prisoners,7.9
1052,Training Day,7.3
1053,Galaxy Quest,6.9
1054,Scary Movie 2,5.4
1055,The Muppets,6.5
1056,Blade,6.5
1057,Coach Carter,7.3
1058,Changing Lanes,5.9
1059,Anaconda,4.7
1060,Coyote Ugly,5.8
1061,Love Actually,7.0
1062,A Bug's Life,6.8
1063,From Hell,6.6
1064,The Specialist,5.5
1065,Tin Cup,5.9
1066,"Yours, Mine and Ours",6.2
1067,Kicking & Screaming,5.6
1068,The Hitchhiker's Guide to the Galaxy,6.6
1069,Fat Albert,4.3
1070,Resident Evil: Extinction,6.1
1071,Blended,6.6
1072,Last Holiday,6.4
1073,The River Wild,6.1
1074,The Indian in the Cupboard,5.9
1075,Savages,6.2
1076,Cellular,6.1
1077,Johnny English,6.0
1078,The Ant Bully,5.5
1079,Dune,6.5
1080,Across the Universe,7.1
1081,Revolutionary Road,6.7
1082,16 Blocks,6.2
1083,Babylon A.D.,5.4
1084,The Glimmer Man,4.7
1085,Multiplicity,5.5
1086,Aliens in the Attic,5.3
1087,The Pledge,6.5
1088,The Producers,6.1
1089,The Phantom,4.7
1090,All the Pretty Horses,5.8
1091,Nixon,7.1
1092,The Ghost Writer,6.7
1093,Deep Rising,6.0
1094,Miracle at St. Anna,6.3
1095,Curse of the Golden Flower,6.6
1096,Bangkok Dangerous,5.0
1097,Big Trouble,6.3
1098,Love in the Time of Cholera,6.4
1099,Shadow Conspiracy,4.0
1100,Johnny English Reborn,6.0
1101,Foodfight!,2.3
1102,Argo,7.1
1103,The Fugitive,7.2
1104,The Bounty Hunter,5.5
1105,Sleepers,7.3
1106,Rambo: First Blood Part II,6.3
1107,The Juror,5.5
1108,Pinocchio,6.9
1109,Heaven's Gate,6.4
1110,Underworld: Evolution,6.4
1111,Victor Frankenstein,5.6
1112,Finding Forrester,7.0
1113,28 Days,6.0
1114,Unleashed,6.6
1115,The Sweetest Thing,5.3
1116,The Firm,6.6
1117,Charlie St. Cloud,6.8
1118,The Mechanic,6.3
1119,21 Jump Street,6.7
1120,Notting Hill,7.0
1121,Chicken Run,6.5
1122,Along Came Polly,5.8
1123,Boomerang,5.4
1124,The Heat,6.5
1125,Cleopatra,6.7
1126,Here Comes the Boom,6.0
1127,High Crimes,6.1
1128,The Mirror Has Two Faces,6.5
1129,The Mothman Prophecies,6.1
1130,Brüno,5.4
1131,Licence to Kill,5.9
1132,Red Riding Hood,5.6
1133,15 Minutes,5.7
1134,Super Mario Bros.,4.0
1135,Lord of War,7.0
1136,Hero,7.2
1137,One for the Money,5.3
1138,The Interview,6.1
1139,The Warrior's Way,6.3
1140,Micmacs,6.8
1141,8 Mile,6.8
1142,Why I Did (Not) Eat My Father,5.3
1143,A Knight's Tale,6.6
1144,The Medallion,5.3
1145,The Sixth Sense,7.7
1146,Man on a Ledge,6.2
1147,The Big Year,5.6
1148,The Karate Kid,6.9
1149,American Hustle,6.8
1150,The Proposal,6.7
1151,Double Jeopardy,6.2
1152,Back to the Future Part II,7.4
1153,Lucy,6.3
1154,Fifty Shades of Grey,5.2
1155,Spy Kids 3-D: Game Over,4.7
1156,A Time to Kill,7.0
1157,Cheaper by the Dozen,6.0
1158,Lone Survivor,7.4
1159,A League of Their Own,6.7
1160,The Conjuring 2,7.0
1161,The Social Network,7.1
1162,He's Just Not That Into You,6.2
1163,Scary Movie 4,5.3
1164,Scream 3,5.7
1165,Back to the Future Part III,7.1
1166,Get Hard,5.9
1167,Dracula,7.1
1168,Julie & Julia,6.6
1169,42,6.8
1170,The Talented Mr. Ripley,7.0
1171,Dumb and Dumber To,5.4
1172,Eight Below,6.7
1173,The Intern,7.1
1174,Ride Along 2,6.1
1175,The Last of the Mohicans,7.1
1176,Ray,7.2
1177,Sin City,7.2
1178,Vantage Point,6.2
1179,"I Love You, Man",6.5
1180,Shallow Hal,5.7
1181,JFK,7.5
1182,Big Momma's House 2,5.4
1183,The Mexican,5.8
1184,17 Again,6.1
1185,The Other Woman,6.2
1186,The Final Destination,5.4
1187,Bridge of Spies,7.2
1188,Behind Enemy Lines,6.0
1189,Get Him to the Greek,5.9
1190,Shall We Dance?,5.9
1191,Small Soldiers,6.2
1192,Spawn,5.0
1193,The Count of Monte Cristo,7.3
1194,The Lincoln Lawyer,7.0
1195,Unknown,6.5
1196,The Prestige,8.0
1197,Horrible Bosses 2,6.1
1198,Escape from Planet Earth,5.7
1199,Apocalypto,7.3
1200,The Living Daylights,6.2
1201,Predators,6.0
1202,Legal Eagles,5.8
1203,Secret Window,6.4
1204,The Lake House,6.5
1205,The Skeleton Key,6.4
1206,The Odd Life of Timothy Green,6.5
1207,Made of Honor,6.0
1208,Jersey Boys,6.8
1209,The Rainmaker,6.7
1210,Gothika,5.8
1211,Amistad,6.8
1212,Medicine Man,5.8
1213,Aliens vs Predator: Requiem,4.9
1214,Ri¢hie Ri¢h,5.4
1215,Autumn in New York,5.7
1216,Music and Lyrics,6.2
1217,Paul,6.5
1218,The Guilt Trip,5.4
1219,Scream 4,6.1
1220,8MM,6.1
1221,The Doors,6.7
1222,Sex Tape,5.3
1223,Hanging Up,5.0
1224,Final Destination 5,5.9
1225,Mickey Blue Eyes,5.3
1226,Pay It Forward,7.0
1227,Fever Pitch,5.9
1228,Drillbit Taylor,5.5
1229,A Million Ways to Die in the West,5.8
1230,The Shadow,5.4
1231,Extremely Loud & Incredibly Close,6.9
1232,Morning Glory,6.1
1233,Get Rich or Die Tryin',6.3
1234,The Art of War,5.6
1235,Rent,6.7
1236,Bless the Child,4.9
1237,The Out-of-Towners,5.0
1238,The Island of Dr. Moreau,4.6
1239,The Musketeer,5.2
1240,The Other Boleyn Girl,6.4
1241,Sweet November,6.4
1242,The Reaping,5.4
1243,Mean Streets,7.2
1244,Renaissance Man,5.9
1245,Colombiana,6.5
1246,Quest for Camelot,6.9
1247,City By The Sea,5.7
1248,At First Sight,5.9
1249,Torque,4.7
1250,City Hall,6.0
1251,Showgirls,4.9
1252,Marie Antoinette,6.5
1253,Kiss of Death,5.7
1254,Get Carter,4.8
1255,The Impossible,7.0
1256,Ishtar,4.2
1257,Fantastic Mr. Fox,7.5
1258,Life or Something Like It,5.7
1259,Memoirs of an Invisible Man,5.7
1260,Amélie,7.8
1261,New York Minute,5.5
1262,Alfie,5.6
1263,Big Miracle,6.6
1264,The Deep End of the Ocean,5.9
1265,FearDotCom,3.2
1266,Cirque du Freak: The Vampire's Assistant,5.5
1267,Duplex,5.9
1268,Soul Men,6.3
1269,Raise the Titanic,5.2
1270,Universal Soldier: The Return,4.2
1271,Pandorum,6.5
1272,Impostor,6.1
1273,Extreme Ops,5.0
1274,Just Visiting,4.8
1275,Sunshine,7.0
1276,A Thousand Words,6.0
1277,Delgo,5.4
1278,The Gunman,5.5
1279,Stormbreaker,5.1
1280,Disturbia,6.6
1281,Hackers,6.2
1282,The Hunting Party,6.6
1283,The Hudsucker Proxy,7.1
1284,The Warlords,6.3
1285,Nomad: The Warrior,4.3
1286,Snowpiercer,6.7
1287,A Monster in Paris,6.5
1288,The Last Shot,5.9
1289,The Crow,7.3
1290,Baahubali: The Beginning,7.5
1291,The Time Traveler's Wife,6.7
1292,Because I Said So,5.8
1293,Frankenweenie,6.6
1294,Serenity,7.4
1295,Against the Ropes,4.5
1296,Superman III,5.3
1297,Grudge Match,6.0
1298,Red Cliff,7.1
1299,Sweet Home Alabama,6.0
1300,The Ugly Truth,6.4
1301,Sgt. Bilko,5.5
1302,Spy Kids 2: The Island of Lost Dreams,5.3
1303,Star Trek: Generations,6.4
1304,The Grandmaster,6.3
1305,Water for Elephants,6.7
1306,Dragon Nest: Warriors' Dawn,6.8
1307,The Hurricane,7.2
1308,Enough,6.2
1309,Heartbreakers,5.7
1310,Paul Blart: Mall Cop 2,5.0
1311,Angel Eyes,5.6
1312,Joe Somebody,5.5
1313,The Ninth Gate,6.3
1314,Extreme Measures,5.7
1315,Rock Star,6.0
1316,Precious,6.9
1317,White Squall,6.3
1318,The Thing,7.8
1319,Riddick,6.2
1320,Switchback,5.8
1321,Texas Rangers,5.4
1322,City of Ember,6.2
1323,The Master,7.0
1324,Virgin Territory,4.3
1325,The Express,7.1
1326,The 5th Wave,5.6
1327,Creed,7.3
1328,The Town,7.0
1329,What to Expect When You're Expecting,5.8
1330,Burn After Reading,6.5
1331,Nim's Island,5.6
1332,Rush,7.7
1333,Magnolia,7.5
1334,Cop Out,5.3
1335,How to Be Single,5.9
1336,Dolphin Tale,6.7
1337,Twilight,5.8
1338,John Q,7.0
1339,Blue Streak,6.1
1340,We're the Millers,6.8
1341,The Inhabited Island,5.3
1342,Breakdown,6.6
1343,Never Say Never Again,5.8
1344,Hot Tub Time Machine,6.0
1345,Dolphin Tale 2,6.7
1346,Reindeer Games,5.4
1347,A Man Apart,5.8
1348,Aloha,5.2
1349,Ghosts of Mississippi,6.2
1350,Snow Falling on Cedars,6.3
1351,The Rite,5.8
1352,Gattaca,7.5
1353,Isn't She Great,4.6
1354,Space Chimps,5.2
1355,Head of State,5.3
1356,The Hangover,7.2
1357,Ip Man 3,6.5
1358,Austin Powers: The Spy Who Shagged Me,6.2
1359,Batman,7.0
1360,There Be Dragons,5.9
1361,Lethal Weapon 3,6.4
1362,The Blind Side,7.2
1363,Spy Kids,5.5
1364,Horrible Bosses,6.5
1365,True Grit,7.2
1366,The Devil Wears Prada,7.0
1367,Star Trek: The Motion Picture,6.2
1368,Identity Thief,5.6
1369,Cape Fear,7.0
1370,21,6.5
1371,Trainwreck,5.9
1372,Guess Who,5.5
1373,The English Patient,7.0
1374,L.A. Confidential,7.7
1375,Sky High,5.8
1376,In & Out,6.3
1377,Species,5.5
1378,A Nightmare on Elm Street,7.2
1379,The Cell,6.0
1380,The Man in the Iron Mask,6.3
1381,Secretariat,6.8
1382,TMNT,6.0
1383,Radio,6.8
1384,Friends with Benefits,6.5
1385,Neighbors 2: Sorority Rising,5.6
1386,Saving Mr. Banks,7.3
1387,Malcolm X,7.2
1388,This Is 40,5.6
1389,Old Dogs,5.2
1390,Underworld: Rise of the Lycans,6.2
1391,License to Wed,5.2
1392,The Benchwarmers,5.2
1393,Must Love Dogs,5.8
1394,Donnie Brasco,7.4
1395,Resident Evil,6.4
1396,Poltergeist,7.0
1397,The Ladykillers,6.0
1398,Max Payne,5.2
1399,In Time,6.7
1400,The Back-Up Plan,5.7
1401,Something Borrowed,5.9
1402,Black Knight,5.1
1403,The Bad News Bears,6.9
1404,Street Fighter,4.1
1405,The Pianist,8.0
1406,The Nativity Story,6.4
1407,House of Wax,5.5
1408,Closer,6.7
1409,J. Edgar,6.0
1410,Mirrors,6.0
1411,Queen of the Damned,5.4
1412,Predator 2,5.9
1413,Untraceable,5.9
1414,Blast from the Past,6.3
1415,Flash Gordon,6.1
1416,Jersey Girl,5.8
1417,Alex Cross,5.1
1418,Midnight in the Garden of Good and Evil,6.3
1419,Heist,5.6
1420,Nanny McPhee and the Big Bang,6.0
1421,Hoffa,6.1
1422,The X Files: I Want to Believe,5.5
1423,Ella Enchanted,5.9
1424,Concussion,7.0
1425,Abduction,5.6
1426,Valiant,5.2
1427,Wonder Boys,6.9
1428,Superhero Movie,4.9
1429,Broken City,5.7
1430,Cursed,5.1
1431,Premium Rush,6.2
1432,Hot Pursuit,5.4
1433,The Four Feathers,6.5
1434,Parker,5.7
1435,Wimbledon,6.0
1436,Furry Vengeance,4.6
1437,Bait,5.3
1438,Krull,5.8
1439,Lions for Lambs,6.0
1440,Flight of the Intruder,5.7
1441,Walk Hard: The Dewey Cox Story,6.6
1442,The Shipping News,6.4
1443,American Outlaws,5.7
1444,The Young Victoria,7.0
1445,Whiteout,5.3
1446,The Tree of Life,6.5
1447,Knock Off,4.7
1448,Sabotage,5.5
1449,The Order,4.8
1450,Punisher: War Zone,5.6
1451,Zoom,4.9
1452,The Walk,6.9
1453,Warriors of Virtue,4.7
1454,A Good Year,6.5
1455,Radio Flyer,6.6
1456,Bound by Honor,7.7
1457,Smilla's Sense of Snow,6.6
1458,Femme Fatale,6.2
1459,Lion of the Desert,7.4
1460,The Horseman on the Roof,6.7
1461,Ride with the Devil,6.6
1462,Biutiful,7.0
1463,Bandidas,5.8
1464,Black Water Transit,0.0
1465,The Maze Runner,7.0
1466,Unfinished Business,5.0
1467,The Age of Innocence,7.0
1468,The Fountain,6.8
1469,Chill Factor,5.3
1470,Stolen,5.1
1471,Ponyo,7.5
1472,The Longest Ride,7.3
1473,The Astronaut's Wife,5.4
1474,I Dreamed of Africa,5.3
1475,Playing for Keeps,5.4
1476,Mandela: Long Walk to Freedom,6.5
1477,Reds,7.1
1478,A Few Good Men,7.1
1479,Exit Wounds,5.3
1480,Big Momma's House,5.6
1481,Thunder and the House of Magic,6.3
1482,The Darkest Hour,4.8
1483,Step Up Revolution,6.7
1484,Snakes on a Plane,5.1
1485,The Watcher,4.9
1486,The Punisher,6.1
1487,Goal!: The Dream Begins,6.6
1488,Safe,6.3
1489,Pushing Tin,5.7
1490,Return of the Jedi,7.9
1491,Doomsday,5.8
1492,The Reader,7.2
1493,Wanderlust,5.3
1494,Elf,6.4
1495,Phenomenon,6.2
1496,Snow Dogs,5.3
1497,Scrooged,6.7
1498,Nacho Libre,5.6
1499,Bridesmaids,6.5
1500,This Is the End,6.3
1501,Stigmata,6.0
1502,Men of Honor,7.0
1503,Takers,6.0
1504,The Big Wedding,5.7
1505,"Big Mommas: Like Father, Like Son",5.3
1506,Source Code,7.1
1507,Alive,6.7
1508,The Number 23,6.3
1509,The Young and Prodigious T.S. Spivet,6.7
1510,1941,5.6
1511,Dreamer: Inspired By a True Story,6.3
1512,A History of Violence,6.9
1513,Transporter 2,6.2
1514,The Quick and the Dead,6.3
1515,Laws of Attraction,5.6
1516,Bringing Out the Dead,6.6
1517,Repo Men,6.2
1518,Dragon Wars: D-War,4.0
1519,Bogus,5.4
1520,The Incredible Burt Wonderstone,5.3
1521,Cats Don't Dance,7.1
1522,Cradle Will Rock,7.2
1523,The Good German,5.9
1524,George and the Dragon,5.0
1525,Apocalypse Now,8.0
1526,Going the Distance,6.0
1527,Mr. Holland's Opus,6.9
1528,Criminal,5.7
1529,Out of Africa,7.0
1530,Flight,6.5
1531,Moonraker,5.9
1532,The Grand Budapest Hotel,8.0
1533,Hearts in Atlantis,6.4
1534,Arachnophobia,6.2
1535,Frequency,7.0
1536,Vacation,6.2
1537,Get Shorty,6.4
1538,Chicago,6.9
1539,Big Daddy,6.1
1540,American Pie 2,6.0
1541,Toy Story,7.7
1542,Speed,6.8
1543,The Vow,7.0
1544,Extraordinary Measures,6.0
1545,Remember the Titans,7.4
1546,The Hunt for Red October,7.2
1547,The Butler,7.2
1548,DodgeBall: A True Underdog Story,6.2
1549,The Addams Family,6.7
1550,Ace Ventura: When Nature Calls,6.1
1551,The Princess Diaries,6.5
1552,The First Wives Club,6.5
1553,Se7en,8.1
1554,District 9,7.3
1555,The SpongeBob SquarePants Movie,6.7
1556,Mystic River,7.6
1557,Million Dollar Baby,7.7
1558,Analyze This,6.4
1559,The Notebook,7.7
1560,27 Dresses,6.1
1561,Hannah Montana: The Movie,6.0
1562,Rugrats in Paris: The Movie,6.0
1563,The Prince of Tides,5.9
1564,Legends of the Fall,7.2
1565,Up in the Air,6.7
1566,About Schmidt,6.7
1567,Warm Bodies,6.4
1568,Looper,6.6
1569,Down to Earth,4.9
1570,Babe,6.0
1571,Hope Springs,5.8
1572,Forgetting Sarah Marshall,6.4
1573,Four Brothers,6.7
1574,Baby Mama,5.8
1575,Hope Floats,5.8
1576,Bride Wars,5.9
1577,Without a Paddle,5.3
1578,13 Going on 30,6.3
1579,Midnight in Paris,7.4
1580,The Nut Job,5.5
1581,Blow,7.4
1582,Message in a Bottle,5.8
1583,Star Trek V: The Final Frontier,5.6
1584,Like Mike,5.7
1585,The Naked Gun 33⅓: The Final Insult,6.3
1586,A View to a Kill,6.0
1587,The Curse of the Were-Rabbit,6.8
1588,P.S. I Love You,6.9
1589,Racing Stripes,5.1
1590,Atonement,7.4
1591,Letters to Juliet,6.6
1592,Black Rain,6.2
1593,The Three Stooges,4.9
1594,Corpse Bride,7.2
1595,Glory Road,7.2
1596,Sicario,7.2
1597,Southpaw,7.3
1598,Drag Me to Hell,6.2
1599,The Age of Adaline,7.4
1600,Secondhand Lions,6.9
1601,Step Up 3D,6.6
1602,Blue Crush,5.6
1603,Stranger Than Fiction,7.1
1604,30 Days of Night,6.2
1605,The Cabin in the Woods,6.5
1606,Meet the Spartans,3.7
1607,Midnight Run,7.2
1608,The Running Man,6.4
1609,Little Shop of Horrors,6.6
1610,Hanna,6.5
1611,Mortal Kombat: Annihilation,3.8
1612,Larry Crowne,5.7
1613,Carrie,5.8
1614,Take the Lead,6.6
1615,Gridiron Gang,6.5
1616,What's the Worst That Could Happen?,5.1
1617,9,6.6
1618,Side Effects,6.4
1619,The Prince & Me,5.9
1620,Winnie the Pooh,6.8
1621,Dumb and Dumberer: When Harry Met Lloyd,4.1
1622,Bulworth,6.3
1623,Get on Up,6.4
1624,One True Thing,6.2
1625,Virtuosity,5.4
1626,My Super Ex-Girlfriend,4.8
1627,Deliver Us from Evil,5.9
1628,Sanctum,5.8
1629,Little Black Book,5.2
1630,The Five-Year Engagement,5.7
1631,Mr. 3000,5.0
1632,The Next Three Days,6.9
1633,Ultraviolet,4.8
1634,Assault on Precinct 13,6.0
1635,The Replacement Killers,6.0
1636,Fled,5.2
1637,Eight Legged Freaks,5.4
1638,Love & Other Drugs,6.6
1639,88 Minutes,5.7
1640,North Country,6.8
1641,The Whole Ten Yards,5.5
1642,Splice,5.5
1643,Howard the Duck,5.1
1644,Pride and Glory,6.3
1645,The Cave,5.1
1646,Alex & Emma,5.0
1647,Wicker Park,6.7
1648,Fright Night,6.0
1649,The New World,6.4
1650,Wing Commander,4.0
1651,In Dreams,5.4
1652,Dragonball Evolution,2.9
1653,The Last Stand,5.7
1654,Godsend,4.7
1655,Chasing Liberty,6.1
1656,Hoodwinked Too! Hood VS. Evil,4.8
1657,An Unfinished Life,6.7
1658,The Imaginarium of Doctor Parnassus,6.3
1659,Barney's Version,7.2
1660,Runner Runner,5.5
1661,Antitrust,5.8
1662,Glory,7.4
1663,Once Upon a Time in America,8.2
1664,Dead Man Down,5.9
1665,The Merchant of Venice,6.7
1666,The Good Thief,6.0
1667,Supercross,5.4
1668,Miss Potter,6.3
1669,The Promise,5.0
1670,DOA: Dead or Alive,5.0
1671,The Assassination of Jesse James by the Coward Robert Ford,7.0
1672,1911,5.0
1673,Little Nicholas,5.9
1674,Wild Card,5.4
1675,Machine Gun Preacher,6.4
1676,Animals United,5.5
1677,Goodbye Bafana,7.0
1678,United Passions,3.0
1679,Grace of Monaco,5.8
1680,Savva. Heart of the Warrior,6.4
1681,Ripley's Game,6.6
1682,Sausage Party,5.6
1683,Pitch Perfect 2,6.8
1684,Walk the Line,7.3
1685,Keeping the Faith,5.9
1686,The Borrowers,5.8
1687,Frost/Nixon,7.2
1688,Confessions of a Dangerous Mind,6.6
1689,Serving Sara,5.0
1690,The Boss,5.5
1691,Cry Freedom,6.9
1692,Mumford,6.3
1693,Seed of Chucky,4.9
1694,The Jacket,6.8
1695,Aladdin,7.4
1696,Straight Outta Compton,7.7
1697,Indiana Jones and the Temple of Doom,7.1
1698,The Rugrats Movie,5.7
1699,Along Came a Spider,6.1
1700,Florence Foster Jenkins,6.6
1701,Once Upon a Time in Mexico,6.2
1702,Die Hard,7.5
1703,Role Models,6.4
1704,The Big Short,7.3
1705,Taking Woodstock,6.2
1706,Miracle,7.0
1707,Dawn of the Dead,6.8
1708,The Wedding Planner,5.5
1709,Space Pirate Captain Harlock,6.5
1710,The Royal Tenenbaums,7.4
1711,Identity,7.1
1712,Last Vegas,6.4
1713,For Your Eyes Only,6.3
1714,Serendipity,6.6
1715,Timecop,5.5
1716,Zoolander,6.1
1717,Safe Haven,6.9
1718,Hocus Pocus,6.4
1719,No Reservations,6.1
1720,Kick-Ass,7.1
1721,30 Minutes or Less,5.6
1722,Dracula 2000,4.6
1723,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.1
1724,Pride & Prejudice,7.7
1725,Blade Runner,7.9
1726,Rob Roy,6.5
1727,3 Days to Kill,6.0
1728,We Own the Night,6.5
1729,Lost Souls,4.5
1730,Winged Migration,7.0
1731,Just My Luck,5.8
1732,"Mystery, Alaska",6.0
1733,The Spy Next Door,5.5
1734,A Simple Wish,5.5
1735,Ghosts of Mars,4.8
1736,Our Brand Is Crisis,5.8
1737,Pride and Prejudice and Zombies,5.5
1738,Kundun,6.8
1739,How to Lose Friends & Alienate People,6.2
1740,Kick-Ass 2,6.3
1741,Alatriste,5.6
1742,Brick Mansions,5.7
1743,Octopussy,6.2
1744,Knocked Up,6.2
1745,My Sister's Keeper,7.1
1746,Welcome Home Roscoe Jenkins,5.7
1747,A Passage to India,6.9
1748,Notes on a Scandal,6.9
1749,Rendition,6.2
1750,Star Trek VI: The Undiscovered Country,6.7
1751,Divine Secrets of the Ya-Ya Sisterhood,5.6
1752,Kiss the Girls,6.2
1753,The Blues Brothers,7.5
1754,The Sisterhood of the Traveling Pants 2,6.0
1755,Joyful Noise,6.7
1756,About a Boy,6.6
1757,Lake Placid,5.5
1758,Lucky Number Slevin,7.4
1759,The Right Stuff,7.3
1760,Anonymous,6.3
1761,The NeverEnding Story,7.0
1762,Dark City,7.2
1763,The Duchess,6.7
1764,Return to Oz,6.7
1765,The Newton Boys,5.9
1766,Case 39,6.1
1767,Suspect Zero,5.5
1768,Martian Child,6.8
1769,Spy Kids: All the Time in the World,4.4
1770,Money Monster,6.5
1771,The 51st State,5.9
1772,Flawless,5.9
1773,Mindhunters,6.3
1774,What Just Happened,5.2
1775,The Statement,5.9
1776,The Magic Flute,6.9
1777,Paul Blart: Mall Cop,5.2
1778,Freaky Friday,6.0
1779,The 40 Year Old Virgin,6.2
1780,Shakespeare in Love,6.8
1781,A Walk Among the Tombstones,6.2
1782,Kindergarten Cop,5.8
1783,Pineapple Express,6.6
1784,Ever After: A Cinderella Story,6.8
1785,Open Range,7.0
1786,Flatliners,6.3
1787,A Bridge Too Far,6.9
1788,Red Eye,6.2
1789,Final Destination 2,5.9
1790,"O Brother, Where Art Thou?",7.3
1791,Legion,5.2
1792,Pain & Gain,6.1
1793,In Good Company,5.9
1794,Clockstoppers,4.9
1795,Silverado,7.1
1796,Brothers,6.8
1797,Agent Cody Banks 2: Destination London,5.2
1798,New Year's Eve,5.7
1799,Original Sin,5.8
1800,The Raven,6.1
1801,Welcome to Mooseport,4.8
1802,Highlander: The Final Dimension,4.5
1803,Blood and Wine,5.5
1804,Snow White: A Tale of Terror,6.0
1805,The Curse of the Jade Scorpion,6.5
1806,Accidental Love,3.9
1807,Flipper,5.3
1808,Self/less,6.3
1809,The Constant Gardener,6.8
1810,The Passion of the Christ,6.9
1811,Mrs. Doubtfire,7.0
1812,Rain Man,7.6
1813,Gran Torino,7.8
1814,W.,6.1
1815,Taken,7.2
1816,The Best of Me,7.2
1817,The Bodyguard,6.1
1818,Schindler's List,8.3
1819,The Help,7.8
1820,The Fifth Estate,5.7
1821,Scooby-Doo 2: Monsters Unleashed,5.4
1822,Forbidden Kingdom,4.9
1823,Freddy vs. Jason,5.8
1824,The Face of an Angel,4.7
1825,Jimmy Neutron: Boy Genius,5.6
1826,Cloverfield,6.4
1827,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8
1828,The Untouchables,7.6
1829,No Country for Old Men,7.7
1830,Ride Along,6.1
1831,Bridget Jones's Diary,6.5
1832,Chocolat,6.8
1833,"Legally Blonde 2: Red, White & Blonde",5.1
1834,Parental Guidance,5.7
1835,No Strings Attached,6.1
1836,Tombstone,7.4
1837,Romeo Must Die,6.0
1838,The Omen,7.2
1839,Final Destination 3,5.8
1840,The Lucky One,6.8
1841,Bridge to Terabithia,7.0
1842,Finding Neverland,7.2
1843,A Madea Christmas,7.0
1844,The Grey,6.4
1845,Hide and Seek,6.1
1846,Anchorman: The Legend of Ron Burgundy,6.7
1847,GoodFellas,8.2
1848,Agent Cody Banks,5.0
1849,Nanny McPhee,6.4
1850,Scarface,8.0
1851,Nothing to Lose,6.3
1852,The Last Emperor,7.4
1853,Contraband,6.1
1854,Money Talks,5.9
1855,There Will Be Blood,7.9
